Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,Outside,0.9368,0.8266,0.457,0.7025,0.5537,"[[1946  101]
 [  36   85]]",0.7025,0.9507,0.8266,0
1,Outside,0.8142,0.7013,0.2863,0.5597,0.3788,"[[1818  339]
 [ 107  136]]",0.5597,0.8428,0.7013,0
2,Outside,0.9029,0.8208,0.4597,0.7215,0.5616,"[[2311  201]
 [  66  171]]",0.7215,0.92,0.8208,0
3,Outside,0.9146,0.7626,0.261,0.5971,0.3632,"[[3035  235]
 [  56   83]]",0.5971,0.9281,0.7626,0
4,Outside,0.8908,0.816,0.4402,0.7244,0.5476,"[[1148  117]
 [  35   92]]",0.7244,0.9075,0.816,0
,,0.89186,0.78546,0.38084,0.66104,0.48098,,0.66104,0.90982,0.78546,0
