Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity
0,At home,0.6478,0.6472,0.6069,0.6402,0.6231,"[[23203 12267]
 [10647 18942]]",0.6402,0.6542
1,At home,0.6199,0.6144,0.5548,0.5756,0.565,"[[24453 12987]
 [11931 16181]]",0.5756,0.6531
2,At home,0.6003,0.6103,0.5291,0.6832,0.5964,"[[29110 25072]
 [13059 28168]]",0.6832,0.5373
3,At home,0.6274,0.6408,0.5605,0.7661,0.6473,"[[22985 21593]
 [ 8408 27535]]",0.7661,0.5156
4,At home,0.6194,0.6331,0.4891,0.6854,0.5709,"[[17872 12900]
 [ 5669 12352]]",0.6854,0.5808
,,0.62296,0.62916,0.54808,0.6701,0.60054,,0.6701,0.5882
