Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity
0,Indoors,0.8436,0.7987,0.9812,0.8498,0.9108,"[[ 1632   551]
 [ 5076 28717]]",0.8498,0.7476
1,Indoors,0.8203,0.7914,0.9705,0.8269,0.893,"[[ 2799   904]
 [ 6226 29750]]",0.8269,0.7559
2,Indoors,0.8381,0.763,0.9788,0.8472,0.9083,"[[ 1993   943]
 [ 7865 43608]]",0.8472,0.6788
3,Indoors,0.8654,0.7255,0.9773,0.8794,0.9258,"[[ 1106   829]
 [ 4891 35680]]",0.8794,0.5716
4,Indoors,0.8667,0.8223,0.9848,0.8723,0.9251,"[[ 1048   309]
 [ 2921 19958]]",0.8723,0.7723
,,0.84682,0.78018,0.97852,0.85512,0.9126,,0.85512,0.70524
