Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,Sitting,0.7499,0.7453,0.7732,0.7839,0.7785,"[[1525  633]
 [ 595 2158]]",0.7839,0.7067,0.7453,0
1,Sitting,0.6931,0.6997,0.7719,0.6052,0.6784,"[[1973  511]
 [1128 1729]]",0.6052,0.7943,0.6997,0
2,Sitting,0.7826,0.7845,0.8354,0.7191,0.7729,"[[3114  550]
 [1090 2791]]",0.7191,0.8499,0.7845,0
3,Sitting,0.73,0.7205,0.731,0.6288,0.6761,"[[2589  599]
 [ 961 1628]]",0.6288,0.8121,0.7205,0
4,Sitting,0.6988,0.7071,0.7958,0.6631,0.7234,"[[1062  352]
 [ 697 1372]]",0.6631,0.7511,0.7071,0
,,0.73088,0.73142,0.78146,0.68002,0.72586,,0.68002,0.78282,0.73142,0
