Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,Sitting,0.8303,0.8289,0.8183,0.8119,0.8151,"[[1642  299]
 [ 312 1347]]",0.8119,0.846,0.8289,0
1,Sitting,0.7488,0.739,0.7412,0.6579,0.6971,"[[1873  411]
 [ 612 1177]]",0.6579,0.8201,0.739,0
2,Sitting,0.8309,0.8192,0.8236,0.7518,0.786,"[[3034  388]
 [ 598 1811]]",0.7518,0.8866,0.8192,0
3,Sitting,0.7758,0.7578,0.6646,0.7004,0.682,"[[2435  552]
 [ 468 1094]]",0.7004,0.8152,0.7578,0
4,Sitting,0.7076,0.7068,0.6892,0.7694,0.7271,"[[ 842  465]
 [ 309 1031]]",0.7694,0.6442,0.7068,0
,,0.77868,0.77034,0.74738,0.73828,0.74146,,0.73828,0.80242,0.77034,0
