Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,FIX_walking,0.8689,0.7895,0.6848,0.656,0.6701,"[[3613  301]
 [ 343  654]]",0.656,0.9231,0.7895,0
1,FIX_walking,0.8015,0.6977,0.3989,0.547,0.4614,"[[3827  684]
 [ 376  454]]",0.547,0.8484,0.6977,0
2,FIX_walking,0.8779,0.7064,0.558,0.4711,0.5109,"[[6143  381]
 [ 540  481]]",0.4711,0.9416,0.7064,0
3,FIX_walking,0.8018,0.7627,0.3808,0.7087,0.4954,"[[4070  914]
 [ 231  562]]",0.7087,0.8166,0.7627,0
4,FIX_walking,0.878,0.7304,0.6216,0.5178,0.565,"[[2782  168]
 [ 257  276]]",0.5178,0.9431,0.7304,0
,,0.84562,0.73734,0.52882,0.58012,0.54056,,0.58012,0.89456,0.73734,0
