Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,LOC_home,0.6358,0.6432,0.7123,0.5313,0.6086,"[[2293  744]
 [1625 1842]]",0.5313,0.755,0.6432,0
1,LOC_home,0.6335,0.6229,0.6554,0.4571,0.5386,"[[2750  737]
 [1665 1402]]",0.4571,0.7886,0.6229,0
2,LOC_home,0.6083,0.6044,0.6091,0.5094,0.5548,"[[3475 1494]
 [2242 2328]]",0.5094,0.6993,0.6044,0
3,LOC_home,0.657,0.657,0.6605,0.6518,0.6561,"[[2654 1354]
 [1407 2634]]",0.6518,0.6622,0.657,0
4,LOC_home,0.6017,0.5902,0.5403,0.5071,0.5232,"[[1869  907]
 [1036 1066]]",0.5071,0.6733,0.5902,0
,,0.62726,0.62354,0.63552,0.53134,0.57626,,0.53134,0.71568,0.62354,0
