Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity
0,Outside,0.8275,0.7852,0.2601,0.7357,0.3843,"[[23074  4568]
 [  577  1606]]",0.7357,0.8347
1,Outside,0.8457,0.8046,0.4313,0.7499,0.5477,"[[22367  3661]
 [  926  2777]]",0.7499,0.8593
2,Outside,0.8159,0.7504,0.2844,0.6703,0.3994,"[[24274  4952]
 [  968  1968]]",0.6703,0.8306
3,Outside,0.8431,0.7151,0.1597,0.5742,0.2499,"[[34727  5844]
 [  824  1111]]",0.5742,0.856
4,Outside,0.841,0.8112,0.3012,0.776,0.434,"[[13474  2443]
 [  304  1053]]",0.776,0.8465
,,0.83464,0.7733,0.28734,0.70122,0.40306,,0.70122,0.84542
