Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,Indoors,0.957,0.7921,0.9907,0.9651,0.9777,"[[  39   24]
 [  92 2543]]",0.9651,0.619,0.7921,0
1,Indoors,0.9156,0.7318,0.9722,0.9376,0.9546,"[[  91   82]
 [ 191 2869]]",0.9376,0.526,0.7318,0
2,Indoors,0.8856,0.8065,0.9891,0.8914,0.9377,"[[ 114   44]
 [ 485 3982]]",0.8914,0.7215,0.8065,0
3,Indoors,0.9428,0.7217,0.986,0.9548,0.9702,"[[  43   45]
 [ 150 3171]]",0.9548,0.4886,0.7217,0
4,Indoors,0.8543,0.8033,0.9934,0.8566,0.92,"[[  33   11]
 [ 279 1667]]",0.8566,0.75,0.8033,0
,,0.91106,0.77108,0.98628,0.9211,0.95204,,0.9211,0.62102,0.77108,0
