Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,Indoors,0.9551,0.8362,0.993,0.9608,0.9767,"[[  37   15]
 [  87 2134]]",0.9608,0.7115,0.8362,0
1,Indoors,0.9004,0.744,0.9749,0.9185,0.9459,"[[  82   62]
 [ 214 2413]]",0.9185,0.5694,0.744,0
2,Indoors,0.8733,0.7833,0.9881,0.8796,0.9307,"[[  90   41]
 [ 468 3418]]",0.8796,0.687,0.7833,0
3,Indoors,0.9531,0.7358,0.9863,0.9652,0.9756,"[[  40   39]
 [ 101 2804]]",0.9652,0.5063,0.7358,0
4,Indoors,0.9481,0.8356,0.9934,0.9533,0.9729,"[[  28   11]
 [  81 1652]]",0.9533,0.7179,0.8356,0
,,0.926,0.78698,0.98714,0.93548,0.96036,,0.93548,0.63842,0.78698,0
