Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity
0,Walking,0.8485,0.7779,0.3739,0.689,0.4848,"[[42748  6565]
 [ 1770  3921]]",0.689,0.8669
1,Walking,0.8048,0.7411,0.2289,0.6659,0.3407,"[[45164 10169]
 [ 1514  3018]]",0.6659,0.8162
2,Walking,0.8355,0.7714,0.2232,0.6986,0.3383,"[[65858 12149]
 [ 1506  3490]]",0.6986,0.8443
3,Walking,0.8502,0.76,0.2431,0.6568,0.3549,"[[53658  8508]
 [ 1428  2733]]",0.6568,0.8631
4,Walking,0.8428,0.8072,0.2597,0.7663,0.3879,"[[33617  6022]
 [  644  2112]]",0.7663,0.8481
,,0.83636,0.77152,0.26576,0.69532,0.38132,,0.69532,0.84772
