Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,Outside,0.9371,0.8037,0.2955,0.661,0.4084,"[[1644   93]
 [  20   39]]",0.661,0.9465,0.8037,0
1,Outside,0.9064,0.7922,0.418,0.6581,0.5113,"[[1786  142]
 [  53  102]]",0.6581,0.9263,0.7922,0
2,Outside,0.85,0.7757,0.2317,0.6917,0.3472,"[[1869  305]
 [  41   92]]",0.6917,0.8597,0.7757,0
3,Outside,0.944,0.7221,0.2364,0.4875,0.3184,"[[2778  126]
 [  41   39]]",0.4875,0.9566,0.7221,0
4,Outside,0.9233,0.8203,0.3009,0.7083,0.4224,"[[1086   79]
 [  14   34]]",0.7083,0.9322,0.8203,0
,,0.91216,0.7828,0.2965,0.64132,0.40154,,0.64132,0.92426,0.7828,0
