Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,At home,0.7102,0.7051,0.7006,0.7907,0.7429,"[[1415  869]
 [ 538 2033]]",0.7907,0.6195,0.7051,0
1,At home,0.6457,0.6452,0.6365,0.6282,0.6324,"[[1733  884]
 [ 916 1548]]",0.6282,0.6622,0.6452,0
2,At home,0.6015,0.6014,0.5924,0.5996,0.596,"[[2270 1493]
 [1449 2170]]",0.5996,0.6032,0.6014,0
3,At home,0.6216,0.6201,0.621,0.674,0.6464,"[[1815 1390]
 [1102 2278]]",0.674,0.5663,0.6201,0
4,At home,0.6047,0.6022,0.5797,0.5625,0.571,"[[1256  701]
 [ 752  967]]",0.5625,0.6418,0.6022,0
,,0.63674,0.6348,0.62604,0.651,0.63774,,0.651,0.6186,0.6348,0
