Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,OR_indoors,0.9351,0.7964,0.9912,0.9419,0.9659,"[[  41   22]
 [ 153 2482]]",0.9419,0.6508,0.7964,0
1,OR_indoors,0.9251,0.7314,0.9719,0.9484,0.96,"[[  89   84]
 [ 158 2902]]",0.9484,0.5145,0.7314,0
2,OR_indoors,0.8843,0.7783,0.9869,0.8921,0.9371,"[[ 105   53]
 [ 482 3985]]",0.8921,0.6646,0.7783,0
3,OR_indoors,0.9378,0.7579,0.9881,0.9476,0.9674,"[[  50   38]
 [ 174 3147]]",0.9476,0.5682,0.7579,0
4,OR_indoors,0.897,0.8363,0.9943,0.8998,0.9447,"[[  34   10]
 [ 195 1751]]",0.8998,0.7727,0.8363,0
,,0.91586,0.78006,0.98648,0.92596,0.95502,,0.92596,0.63416,0.78006,0
