Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity
0,Sitting,0.6868,0.6875,0.6515,0.6961,0.6731,"[[20047  9484]
 [ 7741 17732]]",0.6961,0.6788
1,Sitting,0.6621,0.6562,0.6317,0.5978,0.6143,"[[23523  9392]
 [10839 16111]]",0.5978,0.7147
2,Sitting,0.711,0.7054,0.6767,0.6582,0.6673,"[[34955 11496]
 [12492 24060]]",0.6582,0.7525
3,Sitting,0.6821,0.664,0.5861,0.5859,0.586,"[[30324 10537]
 [10546 14920]]",0.5859,0.7421
4,Sitting,0.6405,0.6415,0.6663,0.6101,0.637,"[[13782  6698]
 [ 8544 13371]]",0.6101,0.6729
,,0.6765,0.67092,0.64246,0.62962,0.63554,,0.62962,0.7122
