Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,SITTING,0.7599,0.7655,0.8298,0.7192,0.7706,"[[1752  406]
 [ 773 1980]]",0.7192,0.8119,0.7655,0
1,SITTING,0.7156,0.7166,0.7498,0.7028,0.7256,"[[1814  670]
 [ 849 2008]]",0.7028,0.7303,0.7166,0
2,SITTING,0.7788,0.7805,0.827,0.7207,0.7702,"[[3079  585]
 [1084 2797]]",0.7207,0.8403,0.7805,0
3,SITTING,0.7101,0.7076,0.674,0.6837,0.6788,"[[2332  856]
 [ 819 1770]]",0.6837,0.7315,0.7076,0
4,SITTING,0.7316,0.7316,0.7997,0.7313,0.7639,"[[1035  379]
 [ 556 1513]]",0.7313,0.732,0.7316,0
,,0.7392,0.74036,0.77606,0.71154,0.74182,,0.71154,0.7692,0.74036,0
