Fold,Label,accuracy,balanced_accuracy,precision,recall,f1_score,confusion_matrix,sensitivity,specificity,train_BA,BA_gap
0,At home,0.6296,0.6403,0.7343,0.4782,0.5792,"[[2437  600]
 [1809 1658]]",0.4782,0.8024,0.6403,0
1,At home,0.6132,0.6023,0.6258,0.4314,0.5107,"[[2696  791]
 [1744 1323]]",0.4314,0.7732,0.6023,0
2,At home,0.6223,0.6222,0.6028,0.6206,0.6115,"[[3100 1869]
 [1734 2836]]",0.6206,0.6239,0.6222,0
3,At home,0.61,0.6102,0.6258,0.5551,0.5883,"[[2667 1341]
 [1798 2243]]",0.5551,0.6654,0.6102,0
4,At home,0.6228,0.5989,0.5856,0.4263,0.4934,"[[2142  634]
 [1206  896]]",0.4263,0.7716,0.5989,0
,,0.61958,0.61478,0.63486,0.50232,0.55662,,0.50232,0.7273,0.61478,0
